layer,laser_on,x1,y1,z1,x2,y2,z2,feedrate
1.0,True,-19.0116,-25.9245,0.025,-18.0304,-25.9245,0.025,600.0
1.0,True,-18.0304,-25.9245,0.025,-17.0492,-25.9245,0.025,600.0
1.0,True,-17.0492,-25.9245,0.025,-16.0679,-25.9245,0.025,600.0
1.0,True,-16.0679,-25.9245,0.025,-15.0867,-25.9245,0.025,600.0
1.0,True,-15.0867,-25.9245,0.025,-14.1054,-25.9245,0.025,600.0
1.0,True,-14.1054,-25.9245,0.025,-13.1242,-25.9245,0.025,600.0
1.0,True,-13.1242,-25.9245,0.025,-12.143,-25.9245,0.025,600.0
1.0,True,-12.143,-25.9245,0.025,-11.1617,-25.9245,0.025,600.0
1.0,True,-11.1617,-25.9245,0.025,-10.1805,-25.9245,0.025,600.0
1.0,True,-10.1805,-25.9245,0.025,-9.1993,-25.9245,0.025,600.0
1.0,True,-9.1993,-25.9245,0.025,-8.218,-25.9245,0.025,600.0
1.0,True,-8.218,-25.9245,0.025,-7.2368,-25.9245,0.025,600.0
1.0,True,-7.2368,-25.9245,0.025,-6.2556,-25.9245,0.025,600.0
1.0,True,-6.2556,-25.9245,0.025,-5.2743,-25.9245,0.025,600.0
1.0,True,-5.2743,-25.9245,0.025,-4.2931,-25.9245,0.025,600.0
1.0,True,-4.2931,-25.9245,0.025,-3.3119,-25.9245,0.025,600.0
1.0,True,-3.3119,-25.9245,0.025,-2.3306,-25.9245,0.025,600.0
1.0,True,-2.3306,-25.9245,0.025,-1.3494,-25.9245,0.025,600.0
1.0,True,-1.3494,-25.9245,0.025,-0.3681,-25.9245,0.025,600.0
1.0,True,-0.3681,-25.9245,0.025,0.6131,-25.9245,0.025,600.0
1.0,True,0.6131,-25.9245,0.025,1.5943,-25.9245,0.025,600.0
1.0,True,1.5943,-25.9245,0.025,2.5756,-25.9245,0.025,600.0
1.0,True,2.5756,-25.9245,0.025,3.5568,-25.9245,0.025,600.0
1.0,True,3.5568,-25.9245,0.025,4.538,-25.9245,0.025,600.0
1.0,True,4.538,-25.9245,0.025,5.5193,-25.9245,0.025,600.0
1.0,True,5.5193,-25.9245,0.025,6.5005,-25.9245,0.025,600.0
1.0,True,6.5005,-25.9245,0.025,7.4817,-25.9245,0.025,600.0
1.0,True,7.4817,-25.9245,0.025,8.463,-25.9245,0.025,600.0
1.0,True,8.463,-25.9245,0.025,9.4442,-25.9245,0.025,600.0
1.0,True,9.4442,-25.9245,0.025,10.4255,-25.9245,0.025,600.0
1.0,True,10.4255,-25.9245,0.025,11.4067,-25.9245,0.025,600.0
1.0,True,11.4067,-25.9245,0.025,12.3879,-25.9245,0.025,600.0
1.0,True,12.3879,-25.9245,0.025,13.3692,-25.9245,0.025,600.0
1.0,True,13.3692,-25.9245,0.025,14.3504,-25.9245,0.025,600.0
1.0,True,14.3504,-25.9245,0.025,15.3316,-25.9245,0.025,600.0
1.0,True,15.3316,-25.9245,0.025,16.3129,-25.9245,0.025,600.0
1.0,True,16.3129,-25.9245,0.025,17.2941,-25.9245,0.025,600.0
1.0,True,17.2941,-25.9245,0.025,18.2753,-25.9245,0.025,600.0
1.0,True,18.2753,-25.9245,0.025,19.2566,-25.9245,0.025,600.0
1.0,True,19.2566,-25.9245,0.025,20.2378,-25.9245,0.025,600.0
1.0,True,20.2378,-25.9245,0.025,21.219,-25.9245,0.025,600.0
1.0,True,21.219,-25.9245,0.025,22.2003,-25.9245,0.025,600.0
1.0,True,22.2003,-25.9245,0.025,23.1815,-25.9245,0.025,600.0
1.0,True,23.1815,-25.9245,0.025,24.1628,-25.9245,0.025,600.0
1.0,True,24.1628,-25.9245,0.025,25.0431,-25.5789,0.025,600.0
1.0,True,25.0431,-25.5789,0.025,25.9234,-25.2332,0.025,600.0
1.0,True,25.9234,-25.2332,0.025,24.9263,-25.2332,0.025,600.0
1.0,True,24.9263,-25.2332,0.025,23.9293,-25.2332,0.025,600.0
1.0,True,23.9293,-25.2332,0.025,22.9322,-25.2332,0.025,600.0
1.0,True,22.9322,-25.2332,0.025,21.9352,-25.2332,0.025,600.0
1.0,True,21.9352,-25.2332,0.025,20.9381,-25.2332,0.025,600.0
1.0,True,20.9381,-25.2332,0.025,19.9411,-25.2332,0.025,600.0
1.0,True,19.9411,-25.2332,0.025,18.944,-25.2332,0.025,600.0
1.0,True,18.944,-25.2332,0.025,17.947,-25.2332,0.025,600.0
1.0,True,17.947,-25.2332,0.025,16.9499,-25.2332,0.025,600.0
1.0,True,16.9499,-25.2332,0.025,15.9529,-25.2332,0.025,600.0
1.0,True,15.9529,-25.2332,0.025,14.9558,-25.2332,0.025,600.0
1.0,True,14.9558,-25.2332,0.025,13.9587,-25.2332,0.025,600.0
1.0,True,13.9587,-25.2332,0.025,12.9617,-25.2332,0.025,600.0
1.0,True,12.9617,-25.2332,0.025,11.9646,-25.2332,0.025,600.0
1.0,True,11.9646,-25.2332,0.025,10.9676,-25.2332,0.025,600.0
1.0,True,10.9676,-25.2332,0.025,9.9705,-25.2332,0.025,600.0
