line_number,raw_line,layer,laser_on,feedrate,tool,X,Y,Z,B,C,dx,dy,dz,step_distance,deposition_move,laser_power_watts,estimated_linear_energy
87,G0 G43.4 H29 X-25.9252 Y4.4527 Z6.025,1.0,False,,,-25.9252,4.4527,6.025,0.0,0.0,-25.9252,4.4527,6.025,26.985980755384823,False,500.0,
88,G1 Z0.025 B0. C0. F600.,1.0,False,600.0,,-25.9252,4.4527,0.025,0.0,0.0,0.0,0.0,-6.0,6.0,False,500.0,0.8333333333333334
95,Y5.3298,1.0,True,600.0,,-25.9252,5.3298,0.025,0.0,0.0,0.0,0.8770999999999995,0.0,0.8770999999999995,True,500.0,0.8333333333333334
96,Y6.2068,1.0,True,600.0,,-25.9252,6.2068,0.025,0.0,0.0,0.0,0.8770000000000007,0.0,0.8770000000000007,True,500.0,0.8333333333333334
97,Y7.0838,1.0,True,600.0,,-25.9252,7.0838,0.025,0.0,0.0,0.0,0.8769999999999998,0.0,0.8769999999999998,True,500.0,0.8333333333333334
98,Y7.8681,1.0,True,600.0,,-25.9252,7.8681,0.025,0.0,0.0,0.0,0.7843,0.0,0.7843,True,500.0,0.8333333333333334
99,Y8.6524,1.0,True,600.0,,-25.9252,8.6524,0.025,0.0,0.0,0.0,0.7843,0.0,0.7843,True,500.0,0.8333333333333334
100,Y9.4367,1.0,True,600.0,,-25.9252,9.4367,0.025,0.0,0.0,0.0,0.7843,0.0,0.7843,True,500.0,0.8333333333333334
101,Y10.221,1.0,True,600.0,,-25.9252,10.221,0.025,0.0,0.0,0.0,0.7843,0.0,0.7843,True,500.0,0.8333333333333334
102,Y10.98,1.0,True,600.0,,-25.9252,10.98,0.025,0.0,0.0,0.0,0.7590000000000003,0.0,0.7590000000000003,True,500.0,0.8333333333333334
103,Y11.7389,1.0,True,600.0,,-25.9252,11.7389,0.025,0.0,0.0,0.0,0.7588999999999988,0.0,0.7588999999999988,True,500.0,0.8333333333333334
