Change Timestamp,Variable,New Value
2026-03-20T19:13:20Z,zpostn,-0.5
2026-03-20T19:13:20Z,xlod,12
2026-03-20T19:13:20Z,ylod,14
2026-03-20T19:13:20Z,zlod,47
2026-03-20T19:13:20Z,fact,9.382958
2026-03-20T19:13:20Z,toolnum,6
2026-03-20T19:13:20Z,program,CDSDRYRUN
2026-03-20T19:13:21Z,xpostn,-92.04855
2026-03-20T19:13:21Z,ypostn,-57.3524
2026-03-20T19:13:21Z,zpostn,-0.5
2026-03-20T19:13:21Z,xlod,12
2026-03-20T19:13:21Z,ylod,14
2026-03-20T19:13:21Z,zlod,47
2026-03-20T19:13:21Z,fact,9.382958
2026-03-20T19:13:21Z,toolnum,6
2026-03-20T19:13:21Z,program,CDSDRYRUN
2026-03-20T19:13:22Z,xpostn,-88.584
2026-03-20T19:13:22Z,ypostn,-48.1304
2026-03-20T19:13:22Z,zpostn,-0.5
2026-03-20T19:13:22Z,xlod,12
2026-03-20T19:13:22Z,ylod,14
2026-03-20T19:13:22Z,zlod,47
2026-03-20T19:13:22Z,fact,9.382958
2026-03-20T19:13:22Z,toolnum,6
2026-03-20T19:13:22Z,program,CDSDRYRUN
2026-03-20T19:13:23Z,xpostn,-78.3027
2026-03-20T19:13:23Z,ypostn,-46.298
2026-03-20T19:13:23Z,zpostn,-0.5
2026-03-20T19:13:23Z,xlod,12
2026-03-20T19:13:23Z,ylod,8
2026-03-20T19:13:23Z,zlod,44
2026-03-20T19:13:23Z,fact,9.382958
2026-03-20T19:13:23Z,toolnum,6
2026-03-20T19:13:23Z,program,CDSDRYRUN
2026-03-20T19:13:24Z,xpostn,-73.76245
2026-03-20T19:13:24Z,ypostn,-46.298
2026-03-20T19:13:24Z,zpostn,-0.5
2026-03-20T19:13:24Z,xlod,12
2026-03-20T19:13:24Z,ylod,8
2026-03-20T19:13:24Z,zlod,44
2026-03-20T19:13:24Z,fact,9.382958
2026-03-20T19:13:24Z,toolnum,6
2026-03-20T19:13:24Z,program,CDSDRYRUN
2026-03-20T19:13:25Z,xpostn,-63.0795
2026-03-20T19:13:25Z,ypostn,-46.298
2026-03-20T19:13:25Z,zpostn,-0.5
2026-03-20T19:13:25Z,xlod,12
2026-03-20T19:13:25Z,ylod,8
2026-03-20T19:13:25Z,zlod,44
2026-03-20T19:13:25Z,fact,9.382958
2026-03-20T19:13:25Z,toolnum,6
2026-03-20T19:13:25Z,program,CDSDRYRUN
2026-03-20T19:13:26Z,xpostn,-52.39655
2026-03-20T19:13:26Z,ypostn,-46.298
2026-03-20T19:13:26Z,zpostn,-0.5
2026-03-20T19:13:26Z,xlod,12
2026-03-20T19:13:26Z,ylod,8
2026-03-20T19:13:26Z,zlod,44
2026-03-20T19:13:26Z,fact,9.382958
